car_id,brand,model,manufacturing_year,fuel_type,transmission,engine_cc,max_power_bhp,mileage_kmpl,km_driven,location,car_price
C001,Hyundai,i20,2018,Petrol,Manual,1200,83,18.6,45000,Bangalore,520000
C002,Maruti,Swift,2017,Petrol,Manual,1197,82,20.4,60000,Hyderabad,435000
C003,Toyota,Innova,2015,Diesel,Manual,2494,150,12.0,85000,Delhi,890000
C004,Honda,City,2019,Petrol,Automatic,1497,118,17.8,30000,Mumbai,960000
C005,Hyundai,Creta,2020,Diesel,Manual,1591,115,19.0,25000,Pune,1350000
C006,Kia,Seltos,2021,Petrol,Automatic,1500,140,16.5,15000,Bangalore,1500000
C007,BMW,320d,2016,Diesel,Automatic,1995,190,18.0,70000,Delhi,2400000
C008,Audi,A4,2018,Petrol,Automatic,1395,150,17.2,40000,Gurgaon,2850000
C009,Mercedes,C200,2017,Petrol,Automatic,1991,181,15.0,55000,Hyderabad,3200000
C010,Maruti,Baleno,2020,Petrol,Manual,1200,83,21.0,20000,Pune,680000
C011,Hyundai,Verna,2019,Diesel,Manual,1582,126,20.2,35000,Bangalore,975000
C012,Honda,Amaze,2018,Diesel,Manual,1498,99,23.0,45000,Chennai,650000
C013,Tata,Nexon,2021,Petrol,Manual,1199,118,17.5,10000,Hyderabad,900000
C014,Tata,Harrier,2019,Diesel,Manual,1956,170,16.0,30000,Mumbai,1650000
C015,Mahindra,XUV300,2020,Diesel,Manual,1497,115,20.0,22000,Pune,1100000
C016,Mahindra,Thar,2021,Petrol,Manual,1997,150,15.0,12000,Bangalore,1650000
C017,Toyota,Fortuner,2016,Diesel,Automatic,2755,174,11.0,90000,Delhi,2800000
C018,Hyundai,Venue,2020,Petrol,Manual,1197,82,17.0,25000,Chennai,900000
C019,Kia,Sonet,2021,Diesel,Automatic,1500,116,19.2,15000,Hyderabad,1200000
C020,Volkswagen,Polo,2017,Petrol,Manual,1198,75,18.0,65000,Pune,475000
C021,Renault,Kwid,2019,Petrol,Manual,999,68,22.3,30000,Hyderabad,380000
C022,Renault,Duster,2018,Diesel,Manual,1461,110,19.0,50000,Delhi,780000
C023,Ford,EcoSport,2017,Petrol,Manual,1498,110,15.0,70000,Bangalore,650000
C024,Ford,Figo,2019,Diesel,Manual,1499,99,24.4,35000,Pune,530000
C025,Hyundai,Elantra,2016,Petrol,Automatic,1999,152,14.0,60000,Mumbai,1350000
C026,Audi,Q3,2015,Diesel,Automatic,1968,177,15.5,80000,Delhi,2200000
C027,BMW,X1,2017,Diesel,Automatic,1998,190,16.1,45000,Gurgaon,2750000
C028,Toyota,Etios,2016,Petrol,Manual,1496,90,17.5,75000,Pune,520000
C029,Maruti,Ertiga,2019,Petrol,Manual,1462,103,18.5,30000,Bangalore,900000
C030,Mahindra,Scorpio,2018,Diesel,Manual,2179,140,16.0,65000,Hyderabad,1300000
C031,Tata,Altroz,2021,Petrol,Manual,1199,86,19.0,18000,Chennai,800000
C032,Mahindra,Bolero,2017,Diesel,Manual,2523,63,15.9,90000,Delhi,650000
C033,Toyota,Yaris,2020,Petrol,Automatic,1496,107,18.1,20000,Mumbai,1050000
C034,Hyundai,Santro,2019,Petrol,Manual,1086,69,20.3,25000,Pune,400000
C035,Kia,Carens,2022,Petrol,Manual,1497,115,16.5,5000,Bangalore,1500000
C036,Honda,WRV,2018,Diesel,Manual,1498,100,23.7,42000,Chennai,780000
C037,Tata,Tiago,2020,Petrol,Manual,1199,86,19.8,28000,Hyderabad,520000
C038,Maruti,WagonR,2021,Petrol,Manual,998,68,22.0,15000,Mumbai,520000
C039,Toyota,Corolla,2016,Petrol,Automatic,1798,138,14.5,80000,Delhi,950000
C040,Honda,BRV,2017,Diesel,Manual,1498,100,21.9,60000,Hyderabad,900000
C041,Volkswagen,Vento,2018,Petrol,Automatic,1598,103,16.1,40000,Bangalore,930000
C042,Hyundai,Accent,2015,Petrol,Manual,1495,94,16.2,85000,Chennai,450000
C043,Ford,Mustang,2017,Petrol,Automatic,4951,395,7.9,20000,Delhi,6200000
C044,Audi,A6,2016,Diesel,Automatic,2995,241,14.0,70000,Mumbai,3500000
C045,Kia,Sportage,2019,Diesel,Automatic,1999,181,17.0,40000,Pune,2000000
C046,Toyota,Urban Cruiser,2021,Petrol,Manual,1462,103,17.0,15000,Bangalore,1050000
C047,Tata,Safari,2022,Diesel,Manual,1956,170,14.0,12000,Hyderabad,1800000
C048,Hyundai,Alcazar,2021,Diesel,Automatic,1493,113,18.0,18000,Chennai,1900000
C049,Mahindra,XUV700,2022,Diesel,Automatic,2184,197,16.0,10000,Mumbai,2400000
C050,BMW,530d,2018,Diesel,Automatic,2993,261,15.2,45000,Delhi,4500000
